AA;MM;DD;HH;NM;MM;MA;Procedencia
2024;1;23;16;365.1;-4.3;369.4;1
2024;1;23;17;311.8;-2.8;314.6;1
2024;1;23;18;247.8;-3;250.8;1
2024;1;23;19;191.3;-6.4;197.7;1
2024;1;23;20;162;-9;171;1
2024;1;23;21;166.4;-10.2;176.6;1
2024;1;23;22;201;-10.2;211.2;1
2024;1;23;23;257.5;-8.9;266.4;1
2024;1;24;0;322;-7.8;329.8;1
2024;1;24;1;379.8;-6.2;386;1
2024;1;24;2;414.6;-7.1;421.7;1
2024;1;24;3;419.6;-9.4;429;1
2024;1;24;4;395;-10.4;405.4;1
2024;1;24;5;342.3;-10.9;353.2;1
2024;1;24;6;272.9;-10.1;283;1
2024;1;24;7;203.7;-10.3;214;1
2024;1;24;8;155.1;-11.1;166.2;1
2024;1;24;9;140.4;-11.1;151.5;1
2024;1;24;10;160.1;-10.6;170.7;1
2024;1;24;11;208.1;-9.8;217.9;1
2024;1;24;12;272.6;-9.5;282.1;1
2024;1;24;13;338.1;-9.1;347.2;1
2024;1;24;14;387.4;-8.7;396.1;1
2024;1;24;15;407.5;-9.4;416.9;1
2024;1;24;16;395.3;-9.9;405.2;1
2024;1;24;17;354;-8.6;362.6;1
2024;1;24;18;291.3;-6.5;297.8;1
2024;1;24;19;223.1;-5.4;228.5;1
2024;1;24;20;170.4;-6.1;176.5;1
2024;1;24;21;151;-6.4;157.4;1
2024;1;24;22;168.5;-6;174.5;1
2024;1;24;23;216;-5.6;221.6;1
2024;1;25;0;283.2;-4.5;287.7;1
2024;1;25;1;355.1;-2.2;357.3;1
2024;1;25;2;412.6;-0.7;413.3;1
2024;1;25;3;441.1;-1;442.1;1
2024;1;25;4;434.7;-3.3;438;1
2024;1;25;5;395.5;-5.5;401;1
2024;1;25;6;329.6;-6.6;336.2;1
2024;1;25;7;249.7;-8;257.7;1
2024;1;25;8;178.9;-8.8;187.7;1
2024;1;25;9;138;-8.6;146.6;1
2024;1;25;10;135;-8.6;143.6;1
2024;1;25;11;167.6;-8.9;176.5;1
2024;1;25;12;227.3;-8.9;236.2;1
2024;1;25;13;300.9;-7.8;308.7;1
2024;1;25;14;369.2;-5.6;374.8;1
2024;1;25;15;411.5;-5.5;417;1
2024;1;25;16;418.6;-7.2;425.8;1
2024;1;25;17;392.3;-7.8;400.1;1
2024;1;25;18;336;-8.6;344.6;1
2024;1;25;19;262.2;-9.1;271.3;1
2024;1;25;20;191.2;-9.9;201.1;1
2024;1;25;21;146.6;-10.2;156.8;1
2024;1;25;22;141.1;-10;151.1;1
